"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"ARRESØ, kemi","03.01.2001 12.00.00 +01:00","Sø",4,693898,6209574,"Oxygen indhold"," =",13.3,"mg/l",2
"Engelsholm Sø - vandkemi","22.06.2010 12.00.00 +02:00","Sø",3,520069,6174893,"Oxygen indhold"," =",9.2,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","28.09.1998 12.00.00 +02:00","Sø",0.2,666003,6065651,"Oxygen indhold"," =",11.8,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","22.07.2010 12.00.00 +02:00","Sø",0.99,504515,6211704,"Oxygenmætning"," =",106,"pct",2
"VIBORG NØRRESØ, Vandkemi","24.07.2025 12.00.00 +02:00","Sø",10.49,526649.0130096802,6257983.004117317,"Oxygenmætning","",0.12,"pct",2
"SØHOLM SØ /001","28.08.2012 12.00.00 +02:00","Sø",14,571863,6125861,"Oxygenmætning"," =",2,"pct",2
"ST.GRIB SØ","14.09.2023 12.00.00 +02:00","Sø",1,706077.7530676462,6209291.965521992,"Oxygenmætning","",97.5539,"pct",2
"VANDET SØ - vandkemi","22.08.2024 12.00.00 +02:00","Sø",1.99,473039.02038627525,6319052.000657112,"Oxygen indhold","",8.52,"mg/l",2
"HALD SØ, Vandkemi","08.06.2011 12.00.00 +02:00","Sø",14.68,520999,6247723,"Oxygenmætning"," =",70,"pct",2
"BASTRUP SØ, kemi","25.03.2003 12.00.00 +01:00","Sø",7,704828,6190664,"Oxygen indhold"," =",15.3,"mg/l",2
"ØRNSØ  - vandkemi","02.06.1994 12.00.00 +02:00","Sø",9.5,532481,6223358,"Oxygen indhold"," =",7.5,"mg/l",2
"BORUP SØ ST AMT","08.12.1992 12.00.00 +01:00","Sø",0.5,687544,6154115,"Oxygen indhold"," =",10.8,"mg/l",2
"TYSTRUP SØ, kemi","09.04.1990 12.00.00 +02:00","Sø",0.99,663916,6137795,"Oxygenmætning"," =",107,"pct",2
"TYSTRUP SØ, kemi","10.07.1989 12.00.00 +02:00","Sø",6.04,663916,6137795,"Oxygen indhold"," =",5.9,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","11.07.1994 12.00.00 +02:00","Sø",2.5,666003,6065651,"Oxygen indhold"," =",9.3,"mg/l",2
"BURESØ","19.04.2001 12.00.00 +02:00","Sø",1,701619,6191260,"Oxygen indhold"," =",13,"mg/l",2
"STORE HULSØ, kemi","24.09.2001 12.00.00 +02:00","Sø",1,715003,6186832,"Oxygen indhold"," =",7.34,"mg/l",2
"GLENSTRUP SØ - vandkemi","07.05.2024 12.00.00 +02:00","Sø",1.97,552404.972246835,6272686.911795638,"Oxygen indhold","",11.4506,"mg/l",2
"SØTORUP SØ, kemi","18.07.1996 12.00.00 +02:00","Sø",6.98,689419,6132094,"Oxygenmætning"," =",95,"pct",2
"Engelsholm Sø - vandkemi","15.08.2011 12.00.00 +02:00","Sø",3,520069,6174893,"Oxygen indhold"," =",11.3,"mg/l",2
"FARUM SØ, DYBESTE STED NORD","20.02.1974 12.00.00 +01:00","Sø",1.5,710835,6189267,"Oxygen indhold"," =",1.1,"mg/l",2
"SØNDERSØ, kemi","23.05.2013 12.00.00 +02:00","Sø",7.7,710238,6186185,"Oxygen indhold"," =",0.2,"mg/l",1
"VIBORG SØNDERSØ, Vandkemi","09.11.1995 12.00.00 +01:00","Sø",5.5,525589,6255243,"Oxygen indhold"," =",10.7,"mg/l",2
"TUEHOLM SØ MIDT I ØSTBASSIN","03.04.2000 12.00.00 +02:00","Sø",0.2,710694,6171579,"Oxygenmætning"," =",116.8,"pct",2
"NOLS SØ - vandkemi","25.01.1988 12.00.00 +01:00","Sø",0.2,541660,6348635,"Oxygen indhold"," =",13.2,"mg/l",2
"SØHOLM SØ /001","27.07.2009 12.00.00 +02:00","Sø",13,571863,6125861,"Oxygenmætning"," =",1,"pct",2
"THORSØ, MIDT  THO1 - vandkemi","10.04.2013 12.00.00 +02:00","Sø",6.02,532734,6220120,"Oxygenmætning"," =",93.7,"pct",2
"Skafø sø","14.04.2011 12.00.00 +02:00","Sø",0.2,587255,6247928,"Oxygen indhold"," =",10.4,"mg/l",2
"Nørresø, Fyn /004, sediment","30.08.1989 12.00.00 +02:00","Sø",5,587900,6112247,"Oxygen indhold"," =",7.5,"mg/l",2
"TYSTRUP SØ, kemi","12.05.1997 12.00.00 +02:00","Sø",10.05,663916,6137795,"Oxygenmætning"," =",127,"pct",2
"Arreskov Sø /004","31.05.2016 12.00.00 +02:00","Sø",0.2,583299,6113387,"Oxygen indhold"," =",9.38,"mg/l",3
"TISSØ, kemi","05.07.1993 12.00.00 +02:00","Sø",10.01,644295,6162469,"Oxygen indhold"," =",7.3,"mg/l",2
"SØNDERSØ, kemi","04.08.2025 12.00.00 +02:00","Sø",3.98,710238.0986309282,6186184.999096906,"Oxygenmætning","",92.87,"pct",2
"TYSTRUP SØ, kemi","11.12.1990 12.00.00 +01:00","Sø",7.01,663916,6137795,"Oxygen indhold"," =",11.6,"mg/l",2
"EJSTRUP SØ, Vandkemi","15.06.2000 12.00.00 +02:00","Sø",0.2,517246,6205491,"Oxygenmætning"," =",103.9,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","21.06.2011 12.00.00 +02:00","Sø",6.11,552519,6218243,"Oxygen indhold"," =",10.5,"mg/l",2
"SØGAARD SØ, HERLUFMAGLE, kemi","26.08.1998 12.00.00 +02:00","Sø",1.5,673509,6132540,"Oxygenmætning"," =",81,"pct",2
"TRYGGELEV NOR VEST MC ST 2","12.06.1997 12.00.00 +02:00","Sø",2.4,606770,6073340,"Oxygen indhold"," =",7.4,"mg/l",2
"Grov Sø - vandkemi","01.05.2023 12.00.00 +02:00","Sø",1.009462,449588.0000871756,6165083.007557569,"Oxygen indhold","",10.65185,"mg/l",2
"Kruså Møllesø - vandkemi","09.07.2020 12.00.00 +02:00","Sø",0.2,525357,6077691,"Oxygenmætning"," =",92.78,"pct",2
"GJORSLEV MØLLESØ, kemi","07.12.1999 12.00.00 +01:00","Sø",3,714654,6141325,"Oxygen indhold"," =",15,"mg/l",2
"Engelsholm Sø - vandkemi","08.01.1991 12.00.00 +01:00","Sø",4,520069,6174893,"Oxygen indhold"," =",13.2,"mg/l",2
"KNUD SØ, ØST - Kemistation","22.03.2007 12.00.00 +01:00","Sø",20,547982,6217718,"Oxygen indhold"," =",13.1,"mg/l",2
"Smalby Sø vest - vandkemi","15.05.2023 12.00.00 +02:00","Sø",2,556944.9999023626,6329395.007086833,"Oxygenmætning","",102.3289,"pct",2
"Skærsø - vandkemi","31.05.1995 12.00.00 +02:00","Sø",4.5,517419,6159693,"Oxygen indhold"," =",2.2,"mg/l",2
"FURESØ, kemi","13.10.1987 12.00.00 +01:00","Sø",8,714084,6189179,"Oxygen indhold"," =",9.4,"mg/l",2
"ARRESØ, kemi","10.02.1998 12.00.00 +01:00","Sø",0,693898,6209574,"Oxygen indhold"," =",14.2,"mg/l",2
"MAGLESØ, kemi","08.06.2004 12.00.00 +02:00","Sø",0,669464,6168553,"Oxygenmætning"," =",102.9,"pct",2
"Nymindestrømmen 2 - vandkemi","27.08.1996 12.00.00 +02:00","Sø",3,448830,6183177,"Oxygen indhold"," =",6.7,"mg/l",2
"Brøndum Sø - vandkemi","16.08.1994 12.00.00 +02:00","Sø",4,542753.9999641913,6275640.003523354,"Oxygen indhold"," =",0.2,"mg/l",1
